experiment,model,trajectory,camera_approach,n_objects,fitness_mean,rmse_mean_m,density_pts,time_s,notes
VGGT,VGGT,mixed,Approach2,28,0.93,0.002,8200,7,Best overall model
Fast3R,Fast3R,mixed,Approach2,28,0.89,0.01,5600,7,Comparable speed to VGGT
SAM3D,SAM3D,mixed,Approach2,28,0.91,0.008,45000,9,Highest density but slower
Lawnmower,VGGT,Lawnmower,Approach1,1,0.71,0.031,7800,7,Fixed downward camera
Zigzag,VGGT,Zigzag,Approach1,1,0.68,0.034,7900,7,Fixed downward camera
Hemisphere,VGGT,Hemisphere,Approach1,1,0.74,0.028,8100,7,Fixed downward camera
Spiral,VGGT,Spiral,Approach1,1,0.66,0.037,7700,7,Fixed downward camera
Random,VGGT,Random,Approach1,1,0.59,0.044,8000,7,Fixed downward camera
Lawnmower,VGGT,Lawnmower,Approach2,1,0.81,0.019,8200,7,Object-pointing camera
Zigzag,VGGT,Zigzag,Approach2,1,0.79,0.022,8300,7,Object-pointing camera
Hemisphere,VGGT,Hemisphere,Approach2,1,0.86,0.015,8500,7,BEST fixed strategy
Spiral,VGGT,Spiral,Approach2,1,0.77,0.024,8200,7,Object-pointing camera
Random,VGGT,Random,Approach2,1,0.71,0.031,8100,7,Object-pointing camera
ICP_vs_BUFFERX_ICP,VGGT,mixed,Approach2,28,0.87,0.0041,8200,7,ICP registration
ICP_vs_BUFFERX_BUFFERX,VGGT,mixed,Approach2,28,0.81,0.015,8200,12,BUFFER-X registration
RL_exp06_no_shaping,RL,RL_learned,RL_adaptive,10,0.4,0.042,7500,35,No proximity shaping — 0.4% success
RL_exp07_proximity_shaping,RL,RL_learned,RL_adaptive,10,0.81,0.018,8100,35,Proximity shaping — 45.2% success
